weight_decay,batch_size,lr,momentum,optimizer,accuracy,recall,precision,f1,roc_auc,val_loss
0.0,32,0.01,0.95,RMSprop,0.8615686274509804,0.0,0.0,0.0,0.6351281481481481,0.7999320128852245
0.0001,32,0.01,0.8,AdamW,0.8925490196078432,0.15666666666666668,0.6911764705882353,0.2554347826086957,0.8971762962962962,0.2493198732768788
1e-05,64,0.001,0.8,AdamW,0.8752941176470588,0.7566666666666667,0.4809322033898305,0.5880829015544041,0.9204711111111111,0.3709211119717243
0.0,32,0.001,0.95,Adam,0.9066666666666666,0.5666666666666667,0.6115107913669064,0.5882352941176471,0.9213777777777777,0.22010939163320206
1e-05,32,0.1,0.8,RMSprop,0.7764705882352941,0.023333333333333334,0.02464788732394366,0.023972602739726026,0.44946,228.26137719247856
0.001,32,0.1,0.9,Adam,0.8819607843137255,0.03666666666666667,0.4782608695652174,0.06811145510835913,0.8526414814814814,0.2706820358715805
0.0001,64,0.01,0.8,AdamW,0.8807843137254902,0.2833333333333333,0.4885057471264368,0.35864978902953587,0.8755585185185185,0.26507982218966764
1e-05,64,0.1,0.8,RMSprop,0.8698039215686274,0.4533333333333333,0.4473684210526316,0.4503311258278146,0.7392681481481482,30.18655793133904
0.001,32,0.01,0.9,AdamW,0.8874509803921569,0.3333333333333333,0.5347593582887701,0.4106776180698152,0.893085925925926,0.25487332019151426
0.0001,32,0.0001,0.95,AdamW,0.9105882352941177,0.49333333333333335,0.6607142857142857,0.5648854961832062,0.9056533333333334,0.2624874415584639
