iteration,fid_score,latent_dim,n_layers,dropout,n_critic,batch_size,classifier_precision,classifier_recall,classifier_accuracy,classifier_f1
1,1606.5294260407775,100,3,0.1,1,64,0.0,0.0,0.0,0.0
2,1439.3619185971913,256,3,0.1,2,32,1.0,0.142,0.142,0.2486865148861646
3,1804.6434397545456,100,3,0.1,1,32,1.0,0.002,0.002,0.003992015968063872
4,1656.7166249700774,100,2,0.1,2,64,0.0,0.0,0.0,0.0
5,1896.683350655066,256,3,0.3,1,32,0.0,0.0,0.0,0.0
6,1594.536240434038,128,2,0.1,2,32,0.0,0.0,0.0,0.0
7,1814.9892608650694,256,2,0.1,2,64,0.0,0.0,0.0,0.0
8,1979.6393460896147,100,2,0.3,2,32,0.0,0.0,0.0,0.0
9,1822.5615784158972,100,2,0.1,2,32,0.0,0.0,0.0,0.0
10,2240.1635980737155,128,2,0.3,2,64,0.0,0.0,0.0,0.0
